Roveré della Luna comune,Roveré della Luna comune.1
,
Roveré della Luna – Veduta,Roveré della Luna – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Luca Ferrari (lista civica) dal 10-5-2015
Territorio,Territorio
Coordinate,46°15′N 11°10′E
Altitudine,251 m s.l.m.
Superficie,"10,41 km²"
Abitanti,1 657[1] (30-11-2025)
Densità,"159,17 ab./km²"
Comuni confinanti,"Cortaccia sulla Strada del Vino (BZ), Magrè sulla Strada del Vino (BZ), Mezzocorona, Predaia, Salorno sulla Strada del Vino (BZ), Ton"
Altre informazioni,Altre informazioni
Cod. postale,38030
Prefisso,0461
Fuso orario,UTC+1
Codice ISTAT,022160
Cod. catastale,H607
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 888 GG[3]"
Nome abitanti,roveraideri
Patrono,sant'Anna
Giorno festivo,26 luglio
Cartografia,Cartografia
Roveré della Luna,Roveré della Luna
Roveré della Luna – MappaPosizione del comune di Roveré della Luna nella provincia autonoma di Trento,Roveré della Luna – MappaPosizione del comune di Roveré della Luna nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
