Pelugo comune,Pelugo comune.1
,
Pelugo – VedutaLa chiesa di Sant'Antonio Abate,Pelugo – VedutaLa chiesa di Sant'Antonio Abate
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Paola Chiodega (lista civica) dal 4-5-2025
Territorio,Territorio
Coordinate,46°05′16.73″N 10°43′23.66″E
Altitudine,675 m s.l.m.
Superficie,"22,98 km²"
Abitanti,380[1] (30-11-2025)
Densità,"16,54 ab./km²"
Comuni confinanti,"Massimeno, Porte di Rendena, Spiazzo, Strembo, Tre Ville, Valdaone"
Altre informazioni,Altre informazioni
Cod. postale,38079
Prefisso,0465
Fuso orario,UTC+1
Codice ISTAT,022138
Cod. catastale,G429
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 408 GG[3]"
Nome abitanti,pelughesi (i pilùch[4])
Patrono,san Zeno
Giorno festivo,ultima domenica di luglio
Cartografia,Cartografia
Pelugo,Pelugo
Pelugo – MappaPosizione del comune di Pelugo nella provincia autonoma di Trento,Pelugo – MappaPosizione del comune di Pelugo nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
