Terre d'Adige comune,Terre d'Adige comune.1
,
Terre d'Adige – Veduta,Terre d'Adige – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Fabio Bonadiman (lista civica) dal 4-5-2025
Data di istituzione,1º gennaio 2019
Territorio,Territorio
Coordinate,46°09′05.8″N 11°05′49.99″E
Altitudine,207 m s.l.m.
Superficie,"16,58 km²"
Abitanti,3 135[1] (30-11-2025)
Densità,"189,08 ab./km²"
Frazioni,"Nave San Rocco, Zambana, Zambana Vecchia"
Comuni confinanti,"Andalo, Fai della Paganella, Lavis, Mezzolombardo, San Michele all'Adige, Vallelaghi"
Altre informazioni,Altre informazioni
Cod. postale,38097
Prefisso,0461
Fuso orario,UTC+1
Codice ISTAT,022251
Cod. catastale,M407
Cl. sismica,zona 3 (sismicità bassa)[2]
Cartografia,Cartografia
Terre d'Adige,Terre d'Adige
Terre d'Adige – MappaPosizione del comune di Terre d'Adige nella provincia autonoma di Trento,Terre d'Adige – MappaPosizione del comune di Terre d'Adige nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
