Comano Terme comune,Comano Terme comune.1
,
"Comano Terme – VedutaVista di Ponte Arche, sede comunale","Comano Terme – VedutaVista di Ponte Arche, sede comunale"
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Fabio Zambotti (lista civica) dal 10-5-2015 (2º mandato dal 2020)
Data di istituzione,1º gennaio 2010
Territorio,Territorio
Coordinate,46°01′00″N 10°52′00″E
Altitudine,400 m s.l.m.
Superficie,"68,11 km²"
Abitanti,3 052[1] (30-11-2025)
Densità,"44,81 ab./km²"
Frazioni,"Ponte Arche (sede comunale), Campo Lomaso, Vigo Lomaso, Dasindo, Lundo, Comano, Poia, Godenzo, Cares, Comighello, Bono, Sesto, Biè, Villa, Vergonzo, Tignerone, Cillà, Duvredo, Santa Croce, Val d'Algone[2]"
Comuni confinanti,"Arco, Bleggio Superiore, Bocenago, Dro, Fiavé, Giustino, Madruzzo, Massimeno, San Lorenzo Dorsino, Stenico, Tenno, Tione di Trento, Tre Ville"
Altre informazioni,Altre informazioni
Cod. postale,38077
Prefisso,0465
Fuso orario,UTC+1
Codice ISTAT,022228
Cod. catastale,M314
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 180 GG[4]"
Nome abitanti,"Bleggiani (Blégi) e Lomasini (""quei dal Lomàs"")"
Patrono,san Giovanni Bosco[5]
Giorno festivo,31 gennaio[5]
Cartografia,Cartografia
Comano Terme,Comano Terme
Comano Terme – MappaPosizione del comune di Comano Terme nella provincia autonoma di Trento,Comano Terme – MappaPosizione del comune di Comano Terme nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
