Ziano di Fiemme comune,Ziano di Fiemme comune.1
,
Ziano di Fiemme – VedutaVeduta del centro di Ziano da via Coronella,Ziano di Fiemme – VedutaVeduta del centro di Ziano da via Coronella
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Deflorian Maria Chiara (lista civica) dal 21-9-2020
Territorio,Territorio
Coordinate,46°17′11.2″N 11°33′40.6″E
Altitudine,952 m s.l.m.
Superficie,"35,75 km²"
Abitanti,1 750[1] (30-11-2025)
Densità,"48,95 ab./km²"
Frazioni,"Roda, Bosin, Zanon, Zanolin"
Comuni confinanti,"Canal San Bovo, Panchià, Pieve Tesino, Predazzo"
Altre informazioni,Altre informazioni
Lingue,dialetto locale
Cod. postale,38030
Prefisso,0462
Fuso orario,UTC+1
Codice ISTAT,022226
Cod. catastale,M173
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 877 GG[3]"
Nome abitanti,zianesi (suaneri)
Patrono,Madonna di Loreto
Giorno festivo,10 dicembre
Cartografia,Cartografia
Ziano di Fiemme,Ziano di Fiemme
Ziano di Fiemme – MappaPosizione del comune di Ziano di Fiemme nella provincia autonoma di Trento,Ziano di Fiemme – MappaPosizione del comune di Ziano di Fiemme nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
