Tione di Trento comune,Tione di Trento comune.1
,
Tione di Trento – Veduta,Tione di Trento – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Eugenio Antolini (lista civica) dal 26-5-2019 (2º mandato dal 4-5-2025)
Data di istituzione,16-10-1920
Territorio,Territorio
Coordinate,46°00′33.71″N 10°43′23.5″E
Altitudine,565 m s.l.m.
Superficie,"33,45 km²"
Abitanti,3 755[1] (30-11-2025)
Densità,"112,26 ab./km²"
Frazioni,Saone
Comuni confinanti,"Comano Terme, Bleggio Superiore, Borgo Lares, Ledro, Pieve di Bono-Prezzo, Porte di Rendena, Sella Giudicarie, Tre Ville"
Altre informazioni,Altre informazioni
Cod. postale,38079
Prefisso,0465
Fuso orario,UTC+1
Codice ISTAT,022199
Cod. catastale,L174
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 272 GG[3]"
Nome abitanti,tionesi (i tió)
Patrono,san Vittore[Quale?]
Giorno festivo,5 settembre[4]
Cartografia,Cartografia
Tione di Trento,Tione di Trento
Tione di Trento – MappaPosizione del comune di Tione di Trento nella provincia autonoma di Trento,Tione di Trento – MappaPosizione del comune di Tione di Trento nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
