Segonzano comune,Segonzano comune.1
,
"Segonzano – VedutaSegonzano visto dall'adiacente paese di Faver; nella parte sinistra si nota l'agglomerato delle frazioni di Scancio, Sabion, Stedro, Saletto e Luch e, più sotto, il castello; nella parte destra, in alto le piramidi di terra, in basso la frazione di Piazzo e il rio Regnana.","Segonzano – VedutaSegonzano visto dall'adiacente paese di Faver; nella parte sinistra si nota l'agglomerato delle frazioni di Scancio, Sabion, Stedro, Saletto e Luch e, più sotto, il castello; nella parte destra, in alto le piramidi di terra, in basso la frazione di Piazzo e il rio Regnana."
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Grazia Benedetti (lista civica Frazioni unite) dal 5-5-2025
Territorio,Territorio
Coordinate,46°11′N 11°16′E
Altitudine,660 m s.l.m.
Superficie,"20,71 km²"
Abitanti,1 406[1] (30-11-2025)
Densità,"67,89 ab./km²"
Frazioni,"Casal, Gaggio, Gresta, Luch, Parlo, Piazzo, Prà, Quaras, Sabion, Saletto, Scancio (sede comunale), Sevignano, Stedro, Teaio, Valcava"
Comuni confinanti,"Altavalle, Baselga di Piné, Bedollo, Cembra Lisignago, Lona-Lases, Sover"
Altre informazioni,Altre informazioni
Cod. postale,38047
Prefisso,0461
Fuso orario,UTC+1
Codice ISTAT,022172
Cod. catastale,I576
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 420 GG[3]"
Nome abitanti,tangheri
Patrono,san Bartolomeo
Giorno festivo,24 agosto
Cartografia,Cartografia
Segonzano,Segonzano
Segonzano – MappaPosizione del comune di Segonzano nella provincia autonoma di Trento,Segonzano – MappaPosizione del comune di Segonzano nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
