Civezzano comune,Civezzano comune.1
,
Civezzano – Veduta,Civezzano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Paolo Betti (liste civiche) dal 4-5-2025
Territorio,Territorio
Coordinate,46°06′00.53″N 11°10′53.89″E
Altitudine,469 m s.l.m.
Superficie,"15,67 km²"
Abitanti,4 181[1] (30-11-2025)
Densità,"266,82 ab./km²"
Frazioni,"Civezzano (sede comunale), Bampi, Barbaniga, Barisei, Bosco, Cogatti, Garzano, Magnago, Mazzanigo, Mochena, Orzano, Penedallo, Roveré, Sant'Agnese, Seregnano, Torchio[2] Località distaccate dalle frazioni: Campagnaga, Celva, Fratte, Maso Rossi, Osella, Predolf, Sille, Slacche[2]"
Comuni confinanti,"Albiano, Fornace, Pergine Valsugana, Trento"
Altre informazioni,Altre informazioni
Cod. postale,38045
Prefisso,0461
Fuso orario,UTC+1
Codice ISTAT,022061
Cod. catastale,C756
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 127 GG[4]"
Nome abitanti,"civezzanesi, zivezani (in dialetto trentino)"
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Civezzano,Civezzano
Civezzano – MappaPosizione del comune di Civezzano nella provincia autonoma di Trento,Civezzano – MappaPosizione del comune di Civezzano nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
