Ruffré-Mendola comune,Ruffré-Mendola comune.1
,
Ruffré-Mendola – Veduta,Ruffré-Mendola – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Donato Seppi (lista civica di destra) dal 7-11-2016
Territorio,Territorio
Coordinate,46°24′53.33″N 11°10′39.99″E
Altitudine,1 200 m s.l.m.
Superficie,"6,58 km²"
Abitanti,397[1] (30-11-2025)
Densità,"60,33 ab./km²"
Frazioni,"Passo Mendola, Ruffré (sede comunale)"
Comuni confinanti,"Caldaro sulla Strada del Vino (BZ), Cavareno, Sarnonico, Ronzone"
Altre informazioni,Altre informazioni
Cod. postale,38010
Prefisso,0463
Fuso orario,UTC+1
Codice ISTAT,022162
Cod. catastale,H634
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 4 263 GG[3]"
Nome abitanti,ruffredani (rufréderi[4])
Cartografia,Cartografia
Ruffré-Mendola,Ruffré-Mendola
Ruffré-Mendola – MappaPosizione del comune di Ruffré-Mendola nella provincia autonoma di Trento,Ruffré-Mendola – MappaPosizione del comune di Ruffré-Mendola nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
