Vermiglio comune,Vermiglio comune.1
,
"Vermiglio – VedutaFoto di Vermiglio dal sentiero che porta al rifugio Denza, estate 2006","Vermiglio – VedutaFoto di Vermiglio dal sentiero che porta al rifugio Denza, estate 2006"
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Michele Bertolini[1] (lista civica) dal 22-9-2020
Territorio,Territorio
Coordinate,46°18′N 10°41′E
Altitudine,1 261 m s.l.m.
Superficie,"95,64 km²"
Abitanti,1 767[2] (30-11-2025)
Densità,"18,48 ab./km²"
Frazioni,"Cortina, Fraviano (sede comunale), Pizzano, Stavel, Velon, Volpaia, Tonale"
Comuni confinanti,"Carisolo, Giustino, Ossana, Peio, Ponte di Legno (BS), Spiazzo, Strembo"
Altre informazioni,Altre informazioni
Cod. postale,38029
Prefisso,0463
Fuso orario,UTC+1
Codice ISTAT,022213
Cod. catastale,L769
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 4 358 GG[4]"
Nome abitanti,vermigliani
Patrono,santo Stefano
Cartografia,Cartografia
Vermiglio,Vermiglio
Vermiglio – MappaPosizione del comune di Vermiglio nella provincia autonoma di Trento,Vermiglio – MappaPosizione del comune di Vermiglio nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
