Avio comune,Avio comune.1
,
Avio – VedutaPanorama dal castello,Avio – VedutaPanorama dal castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Ivano Fracchetti (Lega - Forza Italia - Liste civiche) dal 5-10-2020 (2º mandato dal 4-5-2025)
Data di istituzione,16-10-1920
Territorio,Territorio
Coordinate,45°44′02.26″N 10°56′21.77″E
Altitudine,131 m s.l.m.
Superficie,"68,9 km²"
Abitanti,4 126[1] (30-11-2025)
Densità,"59,88 ab./km²"
Frazioni,"Borghetto sull'Adige, Mama, Masi, Sabbionara, Vò Destro, Vò Sinistro, Loc. San Leonardo"
Comuni confinanti,"Ala, Brentino Belluno (VR), Brentonico, Dolcè (VR), Ferrara di Monte Baldo (VR), Malcesine (VR), Sant'Anna d'Alfaedo (VR)"
Altre informazioni,Altre informazioni
Lingue,Italiano
Cod. postale,38063
Prefisso,0464
Fuso orario,UTC+1
Codice ISTAT,022007
Cod. catastale,A520
Targa,TN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 580 GG[3]"
Nome abitanti,aviensi (aviòt)
Patrono,Santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Avio,Avio
Avio – MappaPosizione del comune di Avio nella provincia autonoma di Trento,Avio – MappaPosizione del comune di Avio nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
