Ville d'Anaunia comune,Ville d'Anaunia comune.1
,
Ville d'Anaunia – Veduta,Ville d'Anaunia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Fausto Pallaver (liste civiche di centro-sinistra) dal 18-5-2025
Data di istituzione,1º gennaio 2016
Territorio,Territorio
Coordinate,46°19′N 11°03′E
Altitudine,629 m s.l.m.
Superficie,"89,13 km²"
Abitanti,4 659[1] (30-11-2025)
Densità,"52,27 ab./km²"
Frazioni,"Campo, Nanno, Pavillo, Portolo, Rallo, Sanzenone, Tassullo, Tuenno (sede comunale)"
Comuni confinanti,"Campodenno, Cles, Contà, Denno, Dimaro Folgarida, Molveno, Predaia, Tre Ville, Sanzeno, Spormaggiore"
Altre informazioni,Altre informazioni
Cod. postale,38019
Prefisso,0463
Fuso orario,UTC+1
Codice ISTAT,022249
Cod. catastale,M363
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Patrono,San Vigilio
Cartografia,Cartografia
Ville d'Anaunia,Ville d'Anaunia
Ville d'Anaunia – MappaPosizione del comune di Ville d'Anaunia nella provincia autonoma di Trento,Ville d'Anaunia – MappaPosizione del comune di Ville d'Anaunia nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
