Tenna comune,Tenna comune.1
,
Tenna – Veduta,Tenna – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Valter Motter dal 05-05-2025
Territorio,Territorio
Coordinate,46°01′N 11°16′E
Altitudine,569 m s.l.m.
Superficie,"3,11 km²"
Abitanti,1 067[1] (30-11-2025)
Densità,"343,09 ab./km²"
Comuni confinanti,"Caldonazzo, Levico Terme, Pergine Valsugana"
Altre informazioni,Altre informazioni
Cod. postale,38050
Prefisso,0461
Fuso orario,UTC+1
Codice ISTAT,022190
Cod. catastale,L096
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 173 GG[3]"
Nome abitanti,tennaroti (tenaròti)
Patrono,Annunciazione di Maria
Giorno festivo,25 marzo
Cartografia,Cartografia
Tenna,Tenna
Tenna – MappaPosizione del comune di Tenna nella provincia autonoma di Trento,Tenna – MappaPosizione del comune di Tenna nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
