Massimeno comune,Massimeno comune.1
,
Massimeno – Veduta,Massimeno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Norman Masè (lista civica) dal 22-9-2020 (2º mandato dal 4-5-2025)
Territorio,Territorio
Coordinate,46°08′29.36″N 10°46′24.6″E
Altitudine,861 m s.l.m.
Superficie,"21,03 km²"
Abitanti,134[1] (30-11-2025)
Densità,"6,37 ab./km²"
Comuni confinanti,"Bocenago, Caderzone Terme, Comano Terme, Giustino, Pelugo, Spiazzo, Strembo"
Altre informazioni,Altre informazioni
Cod. postale,38086
Prefisso,0465
Fuso orario,UTC+1
Codice ISTAT,022112
Cod. catastale,F045
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 734 GG[3]"
Nome abitanti,"massimeni, bègai"
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Massimeno,Massimeno
Massimeno – MappaPosizione del comune di Massimeno nella provincia autonoma di Trento,Massimeno – MappaPosizione del comune di Massimeno nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
