Castello Tesino comune,Castello Tesino comune.1
,
Castello Tesino – VedutaVeduta di Castello Tesino da Cima Lasta,Castello Tesino – VedutaVeduta di Castello Tesino da Cima Lasta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Lucio Muraro (lista civica Fare comunità) dal 5-5-2025
Territorio,Territorio
Coordinate,46°03′48.35″N 11°37′59.92″E
Altitudine,871 m s.l.m.
Superficie,"112,84 km²"
Abitanti,1 157[1] (30-11-2025)
Densità,"10,25 ab./km²"
Frazioni,"Cainari, Coronini, Lissa, Molini (Oltrerozze), Roa, Tellina"
Comuni confinanti,"Arsiè (BL), Canal San Bovo, Cinte Tesino, Grigno, Lamon (BL), Pieve Tesino, Scurelle"
Altre informazioni,Altre informazioni
Cod. postale,38053
Prefisso,0461
Fuso orario,UTC+1
Codice ISTAT,022048
Cod. catastale,C194
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 750 GG[3]"
Nome abitanti,castelàzzi; tasìni
Patrono,san Giorgio Martire
Cartografia,Cartografia
Castello Tesino,Castello Tesino
Castello Tesino – MappaPosizione del comune di Castello Tesino nella provincia autonoma di Trento,Castello Tesino – MappaPosizione del comune di Castello Tesino nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
