Pergine Valsugana comune,Pergine Valsugana comune.1
,
Pergine Valsugana – VedutaPanorama di Pergine Valsugana ed il lago di Caldonazzo dalla frazione di Buss,Pergine Valsugana – VedutaPanorama di Pergine Valsugana ed il lago di Caldonazzo dalla frazione di Buss
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,"Marco Morelli (centrodestra, PATT, liste civiche) dal 18-5-2025"
Data di istituzione,16-10-1920
Territorio,Territorio
Coordinate,46°04′N 11°14′E
Altitudine,482 m s.l.m.
Superficie,"54,33 km²"
Abitanti,21 620[1] (30-11-2025)
Densità,"397,94 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Altopiano della Vigolana, Baselga di Piné, Calceranica al Lago, Caldonazzo, Civezzano, Fornace, Frassilongo, Levico Terme, Novaledo, Sant'Orsola Terme, Tenna, Trento, Vignola-Falesina"
Altre informazioni,Altre informazioni
Cod. postale,38057
Prefisso,0461
Fuso orario,UTC+1
Codice ISTAT,022139
Cod. catastale,G452
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 147 GG[3]"
Nome abitanti,perginesi o perzenaitri
Patrono,Natività di santa Maria Vergine
Giorno festivo,8 settembre
Cartografia,Cartografia
Pergine Valsugana,Pergine Valsugana
Pergine Valsugana – MappaPosizione del comune di Pergine Valsugana nella provincia autonoma di Trento,Pergine Valsugana – MappaPosizione del comune di Pergine Valsugana nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
