Borgo Chiese comune,Borgo Chiese comune.1
,
"Borgo Chiese – VedutaLe tre principali frazioni del comune: Condino in primo piano, Brione in alto e Cimego sullo sfondo","Borgo Chiese – VedutaLe tre principali frazioni del comune: Condino in primo piano, Brione in alto e Cimego sullo sfondo"
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Renato Sartori[1] (Intesa comune) dal 26-2-2024
Data di istituzione,1º gennaio 2016
Territorio,Territorio
Coordinate,45°53′26.16″N 10°36′04.68″E
Altitudine,444 m s.l.m.
Superficie,"53,72 km²"
Abitanti,1 923[2] (30-11-2025)
Densità,"35,8 ab./km²"
Frazioni,"Brione, Cimego, Condino (sede comunale)"
Comuni confinanti,"Bagolino (BS), Breno (BS), Castel Condino, Ledro, Pieve di Bono-Prezzo, Storo, Valdaone"
Altre informazioni,Altre informazioni
Cod. postale,38083
Prefisso,0465
Fuso orario,UTC+1
Codice ISTAT,022238
Cod. catastale,M352
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 376 GG[4]"
Patrono,Santa Maria Assunta
Cartografia,Cartografia
Borgo Chiese,Borgo Chiese
Borgo Chiese – MappaPosizione del comune di Borgo Chiese nella provincia autonoma di Trento,Borgo Chiese – MappaPosizione del comune di Borgo Chiese nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
