Tesero comune,Tesero comune.1
,
Tesero – Veduta,Tesero – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Massimiliano Deflorian (lista civica Con TEsero) dal 05-05-2025
Territorio,Territorio
Coordinate,46°17′21.62″N 11°30′40.82″E
Altitudine,1 000 m s.l.m.
Superficie,"50,55 km²"
Abitanti,2 993[1] (30-11-2025)
Densità,"59,21 ab./km²"
Frazioni,"Lago, Pampeago, Piera, Stava"
Comuni confinanti,"Cavalese, Nova Ponente (BZ), Panchià, Pieve Tesino, Predazzo, Ville di Fiemme"
Altre informazioni,Altre informazioni
Cod. postale,38038
Prefisso,0462
Fuso orario,UTC+1
Codice ISTAT,022196
Cod. catastale,L147
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 4 028 GG[3]"
Nome abitanti,teserani (i tiézeri[4])
Patrono,sant'Eliseo
Giorno festivo,14 giugno
Cartografia,Cartografia
Tesero,Tesero
Tesero – MappaPosizione del comune di Tesero nella provincia autonoma di Trento,Tesero – MappaPosizione del comune di Tesero nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
