Sagron Mis comune,Sagron Mis comune.1
,
Sagron Mis – VedutaIl centro abitato di Sagron,Sagron Mis – VedutaIl centro abitato di Sagron
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Marco De Paoli (lista civica) dal 22-9-2020
Territorio,Territorio
Coordinate,46°11′44.16″N 11°56′39.12″E
Altitudine,1 062 m s.l.m.
Superficie,"11,06 km²"
Abitanti,172[1] (30-11-2025)
Densità,"15,55 ab./km²"
Frazioni,"Mis, Sagron (sede comunale), Marcoi, Pante, Vori, Matiuz"
Comuni confinanti,"Cesiomaggiore (BL), Gosaldo (BL), Primiero San Martino di Castrozza"
Altre informazioni,Altre informazioni
Cod. postale,38050
Prefisso,0439
Fuso orario,UTC+1
Codice ISTAT,022164
Cod. catastale,H666
Targa,TN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona F, 4 047 GG[3]"
Nome abitanti,sagronesi[4]
Patrono,Madonna di Loreto
Cartografia,Cartografia
Sagron Mis,Sagron Mis
Sagron Mis – MappaPosizione del comune di Sagron Mis  nella provincia autonoma di Trento,Sagron Mis – MappaPosizione del comune di Sagron Mis  nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
