Rovereto comune,Rovereto comune.1
,
Rovereto – VedutaRovereto vista dal castello,Rovereto – VedutaRovereto vista dal castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Giulia Robol (centro-sinistra) dal 10-6-2024
Data di istituzione,16-10-1920
Territorio,Territorio
Coordinate,45°53′00″N 11°02′03″E
Altitudine,204 m s.l.m.
Superficie,"50,99 km²"
Abitanti,40 537[1] (30-11-2025)
Densità,795 ab./km²
Frazioni,"Borgo Sacco, Lizzana (la Piòf), Lizzanella, Marco (March), Moietto, Mori Stazione, Noriglio (Noréi), San Giorgio, Sant'Ilario"
Comuni confinanti,"Ala, Calliano, Folgaria, Isera, Mori, Nogaredo, Pomarolo, Terragnolo, Trambileno, Vallarsa, Villa Lagarina, Volano"
Altre informazioni,Altre informazioni
Cod. postale,38068
Prefisso,0464
Fuso orario,UTC+1
Codice ISTAT,022161
Cod. catastale,H612
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 713 GG[3]"
Nome abitanti,roveretani (roveredani[4])
Patrono,"san Marco, santissima Maria Ausiliatrice"
Giorno festivo,"25 aprile, 5 agosto"
Cartografia,Cartografia
Rovereto,Rovereto
Rovereto – MappaPosizione del comune di Rovereto nella provincia autonoma di Trento,Rovereto – MappaPosizione del comune di Rovereto nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
