Cles comune,Cles comune.1
,
Cles – Veduta,Cles – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Stella Menapace (PATT) dal 18-5-2025
Territorio,Territorio
Coordinate,46°22′N 11°02′E
Altitudine,658 m s.l.m.
Superficie,"39,17 km²"
Abitanti,7 473[1] (30-11-2025)
Densità,"190,78 ab./km²"
Frazioni,"Caltron, Dres, Pez, Maiano, Mechel"
Comuni confinanti,"Novella, Caldes, Cavizzana, Cis, Croviana, Dimaro Folgarida, Livo, Malé, Sanzeno, Terzolas, Ville d'Anaunia"
Altre informazioni,Altre informazioni
Cod. postale,38023
Prefisso,0463
Fuso orario,UTC+1
Codice ISTAT,022062
Cod. catastale,C794
Targa,TN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 265 GG[3]"
Nome abitanti,clesiani
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Cles,Cles
Cles – MappaPosizione del comune di Cles all'interno della provincia di Trento,Cles – MappaPosizione del comune di Cles all'interno della provincia di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
