Nomi comune,Nomi comune.1
,
Nomi – VedutaNomi vista dal castello,Nomi – VedutaNomi vista dal castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Alessandro Riolfatti (Lista civica) dal 05-05-2025
Data di istituzione,16-10-1920
Territorio,Territorio
Coordinate,45°56′N 11°04′E
Altitudine,179 m s.l.m.
Superficie,"6,49 km²"
Abitanti,1 361[1] (30-11-2025)
Densità,"209,71 ab./km²"
Comuni confinanti,"Aldeno, Besenello, Calliano, Pomarolo, Volano"
Altre informazioni,Altre informazioni
Lingue,Italiano
Cod. postale,38060
Prefisso,0464
Fuso orario,UTC+1
Codice ISTAT,022128
Cod. catastale,F929
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 674 GG[3]"
Nome abitanti,nomesi (nomeri)[4]
Patrono,Madre della Consolazione
Giorno festivo,ultima domenica di agosto
Cartografia,Cartografia
Nomi,Nomi
Nomi – MappaPosizione del comune di Nomi nella provincia autonoma di Trento,Nomi – MappaPosizione del comune di Nomi nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
