Bocenago comune,Bocenago comune.1
,
Bocenago – Veduta,Bocenago – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Maurizio Fantato dal 4-5-2025
Data di istituzione,15-1-1947
Territorio,Territorio
Coordinate,46°07′06.51″N 10°46′18.7″E
Altitudine,750 m s.l.m.
Superficie,"8,45 km²"
Abitanti,409[1] (30-11-2025)
Densità,"48,4 ab./km²"
Comuni confinanti,"Comano Terme, Caderzone Terme, Massimeno, Spiazzo, Stenico, Strembo, Tre Ville"
Altre informazioni,Altre informazioni
Cod. postale,38080
Prefisso,0465
Fuso orario,UTC+1
Codice ISTAT,022018
Cod. catastale,A916
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 561 GG[3]"
Nome abitanti,bocenaghesi
Patrono,santa Margherita
Giorno festivo,terza domenica di luglio
Cartografia,Cartografia
Bocenago,Bocenago
Bocenago – MappaPosizione del comune di Bocenago nella provincia autonoma di Trento,Bocenago – MappaPosizione del comune di Bocenago nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
