Bondone comune,Bondone comune.1
,
Bondone – Veduta,Bondone – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Chiara Cimarolli (lista civica Per tutti noi) dall'11-10-2021
Data di istituzione,12-09-1953
Territorio,Territorio
Coordinate,45°48′23.36″N 10°33′00.97″E
Altitudine,720 m s.l.m.
Superficie,"19,19 km²"
Abitanti,628[1] (30-11-2025)
Densità,"32,73 ab./km²"
Frazioni,Baitoni
Comuni confinanti,"Bagolino (BS), Idro (BS), Magasa (BS), Storo, Ledro, Valvestino (BS)"
Altre informazioni,Altre informazioni
Cod. postale,38080
Prefisso,0465
Fuso orario,UTC+1
Codice ISTAT,022021
Cod. catastale,A968
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 514 GG[3]"
Nome abitanti,bondonesi
Patrono,Natività di Maria Vergine
Giorno festivo,8 settembre
Cartografia,Cartografia
Bondone,Bondone
Bondone – MappaPosizione del comune di Bondone nella provincia autonoma di Trento,Bondone – MappaPosizione del comune di Bondone nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
