Canal San Bovo comune,Canal San Bovo comune.1
,
Canal San Bovo – Veduta,Canal San Bovo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Bortolo Rattin (lista civica) dal 22-9-2020
Data di istituzione,16-10-1920
Territorio,Territorio
Coordinate,46°09′23″N 11°44′01″E
Altitudine,757 m s.l.m.
Superficie,"125,68 km²"
Abitanti,1 483[1] (30-11-2025)
Densità,"11,8 ab./km²"
Frazioni,"Caoria, Cicona, Gobbera, Prade, Ronco, Zortea[2]"
Comuni confinanti,"Castello Tesino, Cinte Tesino, Imèr, Lamon (BL), Mezzano, Pieve Tesino, Predazzo, Primiero San Martino di Castrozza, Sovramonte (BL), Ziano di Fiemme"
Altre informazioni,Altre informazioni
Cod. postale,38050
Prefisso,0439
Fuso orario,UTC+1
Codice ISTAT,022038
Cod. catastale,B577
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 572 GG[4]"
Nome abitanti,canalini
Patrono,"san Bartolomeo Apostolo, compatrono san Bovo"
Giorno festivo,24 agosto
Cartografia,Cartografia
Canal San Bovo,Canal San Bovo
Canal San Bovo – MappaPosizione del comune di Canal San Bovo nella provincia autonoma di Trento,Canal San Bovo – MappaPosizione del comune di Canal San Bovo nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
