San Lorenzo Dorsino comune,San Lorenzo Dorsino comune.1
,
San Lorenzo Dorsino – Veduta,San Lorenzo Dorsino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Ilaria Rigotti (lista civica Il borgo che vorrei) dal 22-9-2020
Data di istituzione,1-1-2015
Territorio,Territorio
Coordinate,46°04′39″N 10°54′34.2″E
Altitudine,758 m s.l.m.
Superficie,"73,92[1] km²"
Abitanti,1 567[2] (30-11-2025)
Densità,"21,2 ab./km²"
Frazioni,"Andogno, Deggia, Dorsino, Moline, Nembia, San Lorenzo in Banale (sede comunale), Tavodo[3][4]"
Comuni confinanti,"Andalo, Comano Terme, Madruzzo, Molveno, Stenico, Tre Ville, Vallelaghi"
Altre informazioni,Altre informazioni
Cod. postale,38070 e 38078
Prefisso,0465
Fuso orario,UTC+1
Codice ISTAT,022231[5]
Cod. catastale,M345[5]
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[6]
Cl. climatica,"zona F, 3 381 GG[7]"
Nome abitanti,sanlorenziani e dorsini
Cartografia,Cartografia
San Lorenzo Dorsino,San Lorenzo Dorsino
San Lorenzo Dorsino – MappaPosizione del comune di San Lorenzo Dorsino nella provincia autonoma di Trento,San Lorenzo Dorsino – MappaPosizione del comune di San Lorenzo Dorsino nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
