Livo comune,Livo comune.1
,
"Livo – VedutaPalazzo Aliprandini Laifenthurn, sede del comune di Livo","Livo – VedutaPalazzo Aliprandini Laifenthurn, sede del comune di Livo"
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Willi Zanotelli (lista civica) dal 20-09-2020
Territorio,Territorio
Coordinate,46°24′N 11°01′E
Altitudine,741 m s.l.m.
Superficie,"15,22 km²"
Abitanti,773[1] (30-11-2025)
Densità,"50,79 ab./km²"
Frazioni,"Preghena, Varollo, Scanna"
Comuni confinanti,"Bresimo, Cis, Cles, Novella, Rumo"
Altre informazioni,Altre informazioni
Cod. postale,38020
Prefisso,0463
Fuso orario,UTC+1
Codice ISTAT,022106
Cod. catastale,E624
Targa,TN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,mezzaloni; lìveri
Cartografia,Cartografia
Livo,Livo
Livo – MappaPosizione del comune di Livo nella provincia autonoma di Trento,Livo – MappaPosizione del comune di Livo nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
