Sant'Orsola Terme comune,Sant'Orsola Terme comune.1
,
Sant'Orsola Terme – Veduta,Sant'Orsola Terme – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Andrea Fontanari (lista civica) dal 22-9-2020
Data di istituzione,16-10-1920
Territorio,Territorio
Coordinate,46°07′N 11°18′E
Altitudine,925 m s.l.m.
Superficie,"15,36 km²"
Abitanti,1 144[1] (30-11-2025)
Densità,"74,48 ab./km²"
Frazioni,Mala
Comuni confinanti,"Baselga di Piné, Bedollo, Fierozzo, Frassilongo, Palù del Fersina, Pergine Valsugana"
Altre informazioni,Altre informazioni
Cod. postale,38050
Prefisso,0461
Fuso orario,UTC+1
Codice ISTAT,022168
Cod. catastale,I354
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 729 GG[3]"
Nome abitanti,santorsolotti
Patrono,sant'Orsola
Giorno festivo,21 ottobre
Cartografia,Cartografia
Sant'Orsola Terme,Sant'Orsola Terme
Sant'Orsola Terme – MappaPosizione del comune di Sant'Orsola Terme nella provincia autonoma di Trento,Sant'Orsola Terme – MappaPosizione del comune di Sant'Orsola Terme nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
