Tenno comune,Tenno comune.1
,
Tenno – Veduta,Tenno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Lorenzo Zucchelli (lista civica) dal 10-3-2019
Data di istituzione,16-10-1920
Territorio,Territorio
Coordinate,45°55′10″N 10°49′56″E
Altitudine,428 m s.l.m.
Superficie,"28,3 km²"
Abitanti,2 061[1] (30-11-2025)
Densità,"72,83 ab./km²"
Frazioni,"Cologna-Gavazzo (Cológna-Gavàz), Pranzo (Pranz), Ville del Monte [2]"
Sottodivisioni ulteriori,"Località Volta di Noo, Villa Sant'Antonio, Villa Pastoedo, Villa Calvola, Piazze, Teggiole, Lago di Tenno, Mattoni, Canale"
Comuni confinanti,"Arco, Ledro, Fiavé, Comano Terme, Riva del Garda"
Altre informazioni,Altre informazioni
Cod. postale,38060
Prefisso,0464
Fuso orario,UTC+1
Codice ISTAT,022191
Cod. catastale,L097
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 058 GG[4]"
Nome abitanti,tennesi (tenaröi)
Patrono,Immacolata Concezione
Giorno festivo,8 dicembre
Cartografia,Cartografia
Tenno,Tenno
Tenno – MappaPosizione del comune di Tenno nella provincia autonoma di Trento,Tenno – MappaPosizione del comune di Tenno nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
