Ledro comune,Ledro comune.1
,
Ledro – VedutaGli abitati della Val di Concei e Pieve di Ledro,Ledro – VedutaGli abitati della Val di Concei e Pieve di Ledro
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Claudio Oliari (liste civiche-PATT) dal 4-5-2025
Data di istituzione,1º gennaio 2010
Territorio,Territorio
Coordinate,45°53′19.3″N 10°43′57.1″E
Altitudine,660 m s.l.m.
Superficie,"156,39 km²"
Abitanti,5 468[1] (30-11-2025)
Densità,"34,96 ab./km²"
Frazioni,"Bezzecca, Concei, Molina di Ledro, Pieve di Ledro (sede comunale), Tiarno di Sopra, Tiarno di Sotto (municipi) Barcesino, Biacesa, Enguiso, Legos, Lenzumo, Locca, Mezzolago, Pré, Pur (località)"
Comuni confinanti,"Bleggio Superiore, Bondone, Borgo Chiese, Borgo Lares, Fiavé, Limone sul Garda (BS), Magasa (BS), Nago-Torbole, Pieve di Bono-Prezzo, Riva del Garda, Storo, Tenno, Tione di Trento, Tremosine sul Garda (BS)"
Altre informazioni,Altre informazioni
Cod. postale,38067
Prefisso,0464
Fuso orario,UTC+1
Codice ISTAT,022229
Cod. catastale,M313
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Nome abitanti,ledrensi
Cartografia,Cartografia
Ledro,Ledro
Ledro – MappaPosizione del comune di Ledro nella provincia autonoma di Trento,Ledro – MappaPosizione del comune di Ledro nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
