Castel Condino comune,Castel Condino comune.1
,
Castel Condino – VedutaCastel Condino,Castel Condino – VedutaCastel Condino
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Stefano Bagozzi (Fratelli d'Italia[1]) dal 10-5-2015 (2º mandato dal 22-9-2020)
Data di istituzione,24-12-1946
Territorio,Territorio
Coordinate,45°55′N 10°36′E
Altitudine,811 m s.l.m.
Superficie,"11,1 km²"
Abitanti,211[2] (30-11-2025)
Densità,"19,01 ab./km²"
Comuni confinanti,"Borgo Chiese, Pieve di Bono-Prezzo, Valdaone"
Altre informazioni,Altre informazioni
Lingue,italiano
Cod. postale,38082
Prefisso,0465
Fuso orario,UTC+1
Codice ISTAT,022045
Cod. catastale,C183
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 656 GG[4]"
Nome abitanti,castellani
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Castel Condino,Castel Condino
Castel Condino – MappaPosizione del comune di Castel Condino  nella provincia autonoma di Trento,Castel Condino – MappaPosizione del comune di Castel Condino  nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
