Brentonico comune,Brentonico comune.1
,
Brentonico – Veduta,Brentonico – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Mauro Tonolli (liste civiche di centro-sinistra) dal 18-05-2025
Lingue ufficiali,Italiano
Data di istituzione,16-10-1920
Territorio,Territorio
Coordinate,45°49′N 10°57′E
Altitudine,700 m s.l.m.
Superficie,"57,14 km²"
Abitanti,4 184[1] (30-11-2025)
Densità,"73,22 ab./km²"
Frazioni,"Castione, Cazzano, Corné, Crosano, Festa, Fontechel, Polsa, Prada, Saccone, San Giacomo, San Valentino, Sorne"
Comuni confinanti,"Ala, Avio, Malcesine (VR), Mori, Nago-Torbole"
Altre informazioni,Altre informazioni
Cod. postale,38060
Prefisso,0464
Fuso orario,UTC+1
Codice ISTAT,022025
Cod. catastale,B153
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 470 GG[3]"
Nome abitanti,brentegani
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Brentonico,Brentonico
Brentonico – MappaPosizione del comune di Brentonico nella provincia autonoma di Trento,Brentonico – MappaPosizione del comune di Brentonico nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
