Trento comune,Trento comune.1
,
"Trento – VedutaTrento, visione d'insieme","Trento – VedutaTrento, visione d'insieme"
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Franco Ianeselli (indipendente di Centro-sinistra) dal 23-9-2020 (2º mandato dal 4-5-2025)
Territorio,Territorio
Coordinate,46°04′N 11°07′E
Altitudine,194[1] m s.l.m.
Superficie,"157,88 km²"
Abitanti,119 297[2] (30-11-2025)
Densità,"755,62 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Albiano, Aldeno, Altopiano della Vigolana, Besenello, Cavedine, Cimone, Civezzano, Garniga Terme, Giovo, Lavis, Madruzzo, Pergine Valsugana, Vallelaghi, Villa Lagarina"
Altre informazioni,Altre informazioni
Lingue,Italiano
Cod. postale,38121 (nord) 38122 (centro) 38123 (sud)
Prefisso,0461
Fuso orario,UTC+1
Codice ISTAT,022205
Cod. catastale,L378
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 567 GG[4]"
Nome abitanti,trentini o tridentini (storico)
Patrono,san Vigilio
Giorno festivo,26 giugno
Cartografia,Cartografia
Trento,Trento
Trento – MappaPosizione del comune di Trento nella provincia autonoma di Trento.,Trento – MappaPosizione del comune di Trento nella provincia autonoma di Trento.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
