Levico Terme comune,Levico Terme comune.1
,
Levico Terme – VedutaLevico Terme vista da Tenna,Levico Terme – VedutaLevico Terme vista da Tenna
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Gianni Beretta (Levico futura (Polo civico)) dal 10-6-2019
Territorio,Territorio
Coordinate,46°01′N 11°18′E
Altitudine,506 m s.l.m.
Superficie,"62,83 km²"
Abitanti,8 328[1] (30-11-2025)
Densità,"132,55 ab./km²"
Frazioni,"Barco, Campiello, Quaere, Santa Giuliana, Selva Località: Vetriolo, Vezzena"
Comuni confinanti,"Asiago (VI), Borgo Valsugana, Caldonazzo, Frassilongo, Luserna, Novaledo, Pergine Valsugana, Rotzo (VI), Tenna, Vignola-Falesina"
Altre informazioni,Altre informazioni
Cod. postale,38056
Prefisso,0461
Fuso orario,UTC+1
Codice ISTAT,022104
Cod. catastale,E565
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 075 GG[3]"
Nome abitanti,levicensi (levegani)
Patrono,Santissimo Redentore
Giorno festivo,terza domenica di luglio
Cartografia,Cartografia
Levico Terme,Levico Terme
Levico Terme – MappaPosizione del comune di Levico Terme nella provincia autonoma di Trento,Levico Terme – MappaPosizione del comune di Levico Terme nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
