Porte di Rendena comune,Porte di Rendena comune.1
,
"Porte di Rendena – VedutaVista di Villa Rendena, capoluogo del comune","Porte di Rendena – VedutaVista di Villa Rendena, capoluogo del comune"
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Enrico Pellegrini (lista civica) dal 9-5-2016 (2º mandato dal 22-9-2020)
Data di istituzione,1º gennaio 2016
Territorio,Territorio
Coordinate,46°04′44.47″N 10°42′58.07″E
Altitudine,608 m s.l.m.
Superficie,"40,71[1] km²"
Abitanti,1 811[2] (30-11-2025)
Densità,"44,49 ab./km²"
Frazioni,"Darè, Javrè, Verdesina, Vigo Rendena, Villa Rendena (sede comunale)"
Comuni confinanti,"Pelugo, Sella Giudicarie, Tione di Trento, Tre Ville, Valdaone"
Altre informazioni,Altre informazioni
Cod. postale,38094
Prefisso,0465
Fuso orario,UTC+1
Codice ISTAT,022244
Cod. catastale,M358
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cartografia,Cartografia
Porte di Rendena,Porte di Rendena
Porte di Rendena – MappaPosizione del comune di Porte di Rendena nella provincia autonoma di Trento,Porte di Rendena – MappaPosizione del comune di Porte di Rendena nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
