Torcegno comune,Torcegno comune.1
,
Torcegno – Veduta,Torcegno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Daniela Campestrin (lista civica) dal 21-9-2020
Territorio,Territorio
Coordinate,46°04′N 11°27′E
Altitudine,769 m s.l.m.
Superficie,"15,19 km²"
Abitanti,705[1] (30-11-2025)
Densità,"46,41 ab./km²"
Frazioni,"Campestrini, Mocchi"
Comuni confinanti,"Borgo Valsugana, Fierozzo, Palù del Fersina, Roncegno Terme, Ronchi Valsugana, Telve di Sopra"
Altre informazioni,Altre informazioni
Cod. postale,38050
Prefisso,0461
Fuso orario,UTC+1
Codice ISTAT,022202
Cod. catastale,L211
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 590 GG[3]"
Nome abitanti,"torcegnesi, torsegnati (traozegnèri/torzegnèri[4])"
Patrono,san Bartolomeo e sant'Andrea
Giorno festivo,24 agosto
Cartografia,Cartografia
Torcegno,Torcegno
Torcegno – MappaPosizione del comune di Torcegno nella provincia autonoma di Trento,Torcegno – MappaPosizione del comune di Torcegno nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
