Ossana comune,Ossana comune.1
,
Ossana – Veduta,Ossana – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Laura Marinelli (lista civica) dal 21-9-2020
Territorio,Territorio
Coordinate,46°18′N 10°44′E
Altitudine,970 - 1 003 m s.l.m.
Superficie,"25,25 km²"
Abitanti,825[1] (30-11-2025)
Densità,"32,67 ab./km²"
Frazioni,"Cusiano (Cusian), Fucine (le Fosìne)"
Comuni confinanti,"Carisolo, Peio, Pellizzano, Pinzolo, Vermiglio"
Altre informazioni,Altre informazioni
Cod. postale,38026
Prefisso,0463
Fuso orario,UTC+1
Codice ISTAT,022131
Cod. catastale,G173
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 955 GG[3]"
Nome abitanti,ossanesi[4]
Patrono,san Vigilio Martire
Giorno festivo,26 giugno
Cartografia,Cartografia
Ossana,Ossana
Ossana – MappaPosizione del comune di Ossana nella provincia autonoma di Trento,Ossana – MappaPosizione del comune di Ossana nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
