Mezzano comune,Mezzano comune.1
,
"Mezzano – VedutaMezzano visto dai prati Solivi, a nord del paese","Mezzano – VedutaMezzano visto dai prati Solivi, a nord del paese"
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Giampiero Zugliani (lista civica) dal 22-9-2020
Territorio,Territorio
Coordinate,46°09′14.15″N 11°48′31.54″E
Altitudine,640 m s.l.m.
Superficie,"48,85 km²"
Abitanti,1 585[1] (30-11-2025)
Densità,"32,45 ab./km²"
Comuni confinanti,"Canal San Bovo, Cesiomaggiore (BL), Feltre (BL), Imèr, Primiero San Martino di Castrozza, Sovramonte (BL)"
Altre informazioni,Altre informazioni
Cod. postale,38050
Prefisso,0439
Fuso orario,UTC+1
Codice ISTAT,022115
Cod. catastale,F176
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 389 GG[3]"
Nome abitanti,medaneschi (meðanéschi[4])
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Mezzano,Mezzano
Mezzano – MappaPosizione del comune di Mezzano nella provincia autonoma di Trento,Mezzano – MappaPosizione del comune di Mezzano nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
