Andalo comune,Andalo comune.1
,
Andalo – VedutaChiesa di Andalo,Andalo – VedutaChiesa di Andalo
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Eleonora Bottamedi (lista civica) dal 12-5-2025
Data di istituzione,16-10-1920
Territorio,Territorio
Coordinate,46°10′00″N 11°00′16″E
Altitudine,1 042 m s.l.m.
Superficie,"11,38 km²"
Abitanti,1 231[1] (30-11-2025)
Densità,"108,17 ab./km²"
Comuni confinanti,"Cavedago, Fai della Paganella, Molveno, San Lorenzo Dorsino, Terre d'Adige, Vallelaghi"
Altre informazioni,Altre informazioni
Cod. postale,38010
Prefisso,0461
Fuso orario,UTC+1
Codice ISTAT,022005
Cod. catastale,A274
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 4 016 GG[3]"
Nome abitanti,"andalesi, loc. anche anderlesi"
Patrono,"san Vito, san Modesto e santa Crescenzia"
Giorno festivo,15 giugno
Cartografia,Cartografia
Andalo,Andalo
Andalo – MappaPosizione del comune di Andalo nella provincia autonoma di Trento,Andalo – MappaPosizione del comune di Andalo nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
