Bresimo comune,Bresimo comune.1
,
"Bresimo – VedutaScorcio della frazione di Fontana Nuova, con la chiesa di San Bernardo e il municipio","Bresimo – VedutaScorcio della frazione di Fontana Nuova, con la chiesa di San Bernardo e il municipio"
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Ivan Dalla Torre (lista civica) dal 19-11-2022
Data di istituzione,15-3-1947
Territorio,Territorio
Coordinate,46°24′42.53″N 10°58′15.24″E
Altitudine,1 036 m s.l.m.
Superficie,"41,01 km²"
Abitanti,240[1] (30-11-2025)
Densità,"5,85 ab./km²"
Frazioni,"Baselga, Bevia, Fontana e Fontana Nuova[2]"
Comuni confinanti,"Caldes, Cis, Livo, Malé, Rabbi, Rumo, Ultimo (BZ)"
Altre informazioni,Altre informazioni
Cod. postale,38020
Prefisso,0463
Fuso orario,UTC+1
Codice ISTAT,022026
Cod. catastale,B158
Targa,TN
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona F, 4 007 GG[4]"
Nome abitanti,bresimi
Cartografia,Cartografia
Bresimo,Bresimo
Bresimo – MappaPosizione del comune di Bresimo all'interno della provincia di Trento,Bresimo – MappaPosizione del comune di Bresimo all'interno della provincia di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
