Roncegno Terme comune,Roncegno Terme comune.1
,
Roncegno Terme – Veduta,Roncegno Terme – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Corrado Giovannini (lista civica) dal 05-5-2025
Territorio,Territorio
Coordinate,46°03′03″N 11°24′36″E
Altitudine,535 m s.l.m.
Superficie,"38,08 km²"
Abitanti,3 027[1] (30-11-2025)
Densità,"79,49 ab./km²"
Frazioni,"Marter, Monte di Mezzo, Santa Brigida Masi: vedi elenco"
Comuni confinanti,"Borgo Valsugana, Fierozzo, Frassilongo, Novaledo, Ronchi Valsugana, Torcegno"
Altre informazioni,Altre informazioni
Cod. postale,38050
Prefisso,0461
Fuso orario,UTC+1
Codice ISTAT,022156
Cod. catastale,H528
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 120 GG[3]"
Nome abitanti,roncegnesi o ronzegnari
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Roncegno Terme,Roncegno Terme
Roncegno Terme – MappaPosizione del comune di Roncegno Terme  nella provincia autonoma di Trento,Roncegno Terme – MappaPosizione del comune di Roncegno Terme  nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
