Denno comune,Denno comune.1
,
Denno – VedutaDenno da nord,Denno – VedutaDenno da nord
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Paolo Vielmetti (Insieme per Denno) dal 4-5-2025
Territorio,Territorio
Coordinate,46°17′N 11°03′E
Altitudine,429 m s.l.m.
Superficie,"10,64 km²"
Abitanti,1 248[1] (30-11-2025)
Densità,"117,29 ab./km²"
Comuni confinanti,"Campodenno, Contà, Predaia, Ton, Ville d'Anaunia"
Altre informazioni,Altre informazioni
Cod. postale,38010
Prefisso,0461
Fuso orario,UTC+1
Codice ISTAT,022074
Cod. catastale,D273
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 060 GG[3]"
Nome abitanti,dennesi (déneri[4])
Patrono,santi Gervasio e Protasio
Giorno festivo,18 giugno
Cartografia,Cartografia
Denno,Denno
Denno – MappaPosizione del comune di Denno all'interno della provincia di Trento,Denno – MappaPosizione del comune di Denno all'interno della provincia di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
