Peio comune,Peio comune.1
,
Peio – Veduta,Peio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Luca Veneri (lista civica) dal 04-05-2025
Territorio,Territorio
Coordinate,46°21′19″N 10°41′21″E
Altitudine,1 172 m s.l.m.
Superficie,"162,33 km²"
Abitanti,1 789[1] (30-11-2025)
Densità,"11,02 ab./km²"
Frazioni,"Cogolo (sede comunale), Celentino, Celledizzo, Comasine, Peio Località: Peio Fonti, Strombiano"
Comuni confinanti,"Martello (BZ), Ossana, Pellizzano, Ponte di Legno (BS), Rabbi, Valfurva (SO), Vermiglio"
Altre informazioni,Altre informazioni
Cod. postale,38024
Prefisso,0463
Fuso orario,UTC+1
Codice ISTAT,022136
Cod. catastale,G419
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 4 221 GG[3]"
Nome abitanti,pegaési
Cartografia,Cartografia
Peio,Peio
Peio – MappaPosizione del comune di Peio nella provincia autonoma di Trento,Peio – MappaPosizione del comune di Peio nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
