Malé comune,Malé comune.1
,
Malé – Veduta,Malé – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Barbara Cunaccia (lista civica) dal 21-9-2020
Territorio,Territorio
Coordinate,46°21′10″N 10°54′46″E
Altitudine,737 m s.l.m.
Superficie,"26,53 km²"
Abitanti,2 284[1] (30-11-2025)
Densità,"86,09 ab./km²"
Frazioni,"Arnago, Bolentina, Magras, Montes Località: Mangiasa, Molini di Malé, Pondasio"
Comuni confinanti,"Bresimo, Caldes, Cles, Commezzadura, Croviana, Dimaro Folgarida, Rabbi, Terzolas"
Altre informazioni,Altre informazioni
Cod. postale,38027
Prefisso,0463
Fuso orario,UTC+1
Codice ISTAT,022110
Cod. catastale,E850
Targa,TN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 542 GG[3]"
Nome abitanti,maletani (maledi in dialetto solandro)
Patrono,Assunzione di Maria
Giorno festivo,15 agosto
Cartografia,Cartografia
Malé,Malé
Malé – MappaPosizione del comune di Malé nella provincia autonoma di Trento,Malé – MappaPosizione del comune di Malé nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
