Drena comune,Drena comune.1
,
Drena – Veduta,Drena – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Simone Bombardelli (Futuro e Identità per Drena) dal 5-5-2025
Territorio,Territorio
Coordinate,45°58′N 10°57′E
Altitudine,398 m s.l.m.
Superficie,"8,34 km²"
Abitanti,611[1] (30-11-2025)
Densità,"73,26 ab./km²"
Comuni confinanti,"Arco, Cavedine, Dro, Villa Lagarina"
Altre informazioni,Altre informazioni
Cod. postale,38074
Prefisso,0464
Fuso orario,UTC+1
Codice ISTAT,022078
Cod. catastale,D365
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 012 GG[3]"
Nome abitanti,drenensi(i sdréni)
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Drena,Drena
Drena – MappaPosizione del comune di Drena nella provincia autonoma di Trento,Drena – MappaPosizione del comune di Drena nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
