Commezzadura comune,Commezzadura comune.1
,
Commezzadura – VedutaVista su Mestriago,Commezzadura – VedutaVista su Mestriago
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Ivan Tevini (lista civica) dal 13-11-2011
Territorio,Territorio
Coordinate,46°19′N 10°50′E
Altitudine,850 m s.l.m.
Superficie,"22,03 km²"
Abitanti,1 005[1] (30-11-2025)
Densità,"45,62 ab./km²"
Frazioni,"Almazzago (Darmazàch), Deggiano (Degiàn), Mastellina (Mastalinå), Mestriago (Mestriach) (sede comunale), Piano (Plàn) Località: Costa Rotian, Daolasa, Liberdon, Vernago, Rovina"
Comuni confinanti,"Dimaro Folgarida, Malé, Mezzana, Pinzolo, Rabbi"
Altre informazioni,Altre informazioni
Cod. postale,38020
Prefisso,0463
Fuso orario,UTC+1
Codice ISTAT,022064
Cod. catastale,C931
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 717 GG[3]"
Nome abitanti,commezzaduri
Patrono,sant'Agata
Giorno festivo,5 febbraio
Cartografia,Cartografia
Commezzadura,Commezzadura
Commezzadura – MappaPosizione del comune di Commezzadura nella provincia autonoma di Trento,Commezzadura – MappaPosizione del comune di Commezzadura nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
