Sella Giudicarie comune,Sella Giudicarie comune.1
,
"Sella Giudicarie – VedutaVeduta dell'abitato di Roncone, capoluogo del comune","Sella Giudicarie – VedutaVeduta dell'abitato di Roncone, capoluogo del comune"
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Franco Bazzoli (lista civica) dal 9-5-2016 (2º mandato dal 21-9-2020)
Data di istituzione,1º gennaio 2016
Territorio,Territorio
Coordinate,45°59′03″N 10°40′10″E
Altitudine,842 m s.l.m.
Superficie,"85,76 km²"
Abitanti,2 984[1] (30-11-2025)
Densità,"34,79 ab./km²"
Frazioni,"Bondo, Breguzzo, Lardaro, Roncone (sede comunale)"
Comuni confinanti,"Borgo Lares, Pieve di Bono-Prezzo, Porte di Rendena, Tione di Trento, Valdaone"
Altre informazioni,Altre informazioni
Lingue,Italiano
Cod. postale,38087
Prefisso,0465
Fuso orario,UTC+1
Codice ISTAT,022246
Cod. catastale,M360
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cartografia,Cartografia
Sella Giudicarie,Sella Giudicarie
Sella Giudicarie – MappaPosizione del comune di Sella Giudicarie nella provincia autonoma di Trento,Sella Giudicarie – MappaPosizione del comune di Sella Giudicarie nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
