Nago-Torbole comune,Nago-Torbole comune.1
,
Nago-Torbole – VedutaVeduta,Nago-Torbole – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Gianni Morandi (lista civica) dall'11-5-2015
Territorio,Territorio
Coordinate,45°52′33″N 10°53′28″E
Altitudine,64 m s.l.m.
Superficie,"28,39 km²"
Acque interne,"8,21 km² (28,92%)"
Abitanti,2 737[1] (30-11-2025)
Densità,"96,41 ab./km²"
Frazioni,"Nago, Tempesta, Torbole (sede comunale)"
Comuni confinanti,"Arco, Brentonico, Ledro, Malcesine (VR), Mori, Riva del Garda"
Altre informazioni,Altre informazioni
Cod. postale,"38060, 38069"
Prefisso,0464
Fuso orario,UTC+1
Codice ISTAT,022124
Cod. catastale,F835
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 276 GG[3]"
Nome abitanti,"Naghesi, torbolani"
Patrono,"sant'Andrea (Torbole), san Vigilio (Nago)"
Giorno festivo,30 novembre
Cartografia,Cartografia
Nago-Torbole,Nago-Torbole
Nago-Torbole – MappaPosizione del comune di Nago-Torbole nella provincia autonoma di Trento,Nago-Torbole – MappaPosizione del comune di Nago-Torbole nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
