Scurelle comune,Scurelle comune.1
,
Scurelle – VedutaPanorama di Scurelle,Scurelle – VedutaPanorama di Scurelle
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Lorenza Ropelato (lista civica) dal 22-9-2020
Territorio,Territorio
Coordinate,46°03′54.4″N 11°30′23.51″E
Altitudine,375 m s.l.m.
Superficie,30 km²
Abitanti,1 381[1] (30-11-2025)
Densità,"46,03 ab./km²"
Frazioni,"Pianezze, Palua, Paoli, Castellare, Sarzo"
Comuni confinanti,"Bieno, Carzano, Castel Ivano, Castello Tesino, Castelnuovo, Cinte Tesino, Pieve Tesino, Telve"
Altre informazioni,Altre informazioni
Cod. postale,38050
Prefisso,0461
Fuso orario,UTC+1
Codice ISTAT,022171
Cod. catastale,I554
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 976 GG[3]"
Nome abitanti,scurelati
Patrono,santa Maria Maddalena
Giorno festivo,22 luglio
Cartografia,Cartografia
Scurelle,Scurelle
Scurelle – MappaPosizione del comune di Scurelle nella provincia autonoma di Trento,Scurelle – MappaPosizione del comune di Scurelle nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
