Campitello di Fassa comune,Campitello di Fassa comune.1
(IT) Campitello di Fassa (LLD) Ciampedel,(IT) Campitello di Fassa (LLD) Ciampedel
,
Campitello di Fassa – Veduta,Campitello di Fassa – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Ivo Bernard (lista civica Ciampedel per sia Jent) dal 21-9-2020
Lingue ufficiali,"Ladino, italiano"
Data di istituzione,4-11-1956
Territorio,Territorio
Coordinate,46°28′34.2″N 11°44′29.49″E
Altitudine,1 448 m s.l.m.
Superficie,"25,02 km²"
Abitanti,662[1] (30-11-2025)
Densità,"26,46 ab./km²"
Frazioni,"Cercenà, Fossel, Pian"
Comuni confinanti,"Canazei, Castelrotto (BZ), Mazzin, Santa Cristina Valgardena (BZ), Selva di Val Gardena (BZ), Tires (BZ)"
Altre informazioni,Altre informazioni
Cod. postale,38031
Prefisso,0462
Fuso orario,UTC+1
Codice ISTAT,022036
Cod. catastale,B514
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 4 892 GG[3]"
Nome abitanti,campitellesi
Patrono,santi Filippo e Giacomo
Giorno festivo,11 maggio
Cartografia,Cartografia
Campitello di Fassa,Campitello di Fassa
Campitello di Fassa – MappaPosizione del comune di Campitello di Fassa  nella provincia autonoma di Trento,Campitello di Fassa – MappaPosizione del comune di Campitello di Fassa  nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
