Castel Ivano comune,Castel Ivano comune.1
,
Castel Ivano – VedutaValsugana orientale dal Monte Lefre,Castel Ivano – VedutaValsugana orientale dal Monte Lefre
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Alberto Vesco (lista civica) dal 6-11-2016 (2º mandato dal 22-9-2020)
Data di istituzione,1º gennaio 2016
Territorio,Territorio
Coordinate,46°03′58.9″N 11°31′24.85″E
Altitudine,506 m s.l.m.
Superficie,"34,82 km²"
Abitanti,3 299[1] (30-11-2025)
Densità,"94,74 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Asiago (VI), Bieno, Castelnuovo, Ospedaletto, Pieve Tesino, Samone, Scurelle"
Altre informazioni,Altre informazioni
Cod. postale,38059
Prefisso,0461
Fuso orario,UTC+1
Codice ISTAT,022240
Cod. catastale,M354
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Patrono,Immacolata Concezione[3]
Giorno festivo,8 dicembre[3]
Cartografia,Cartografia
Castel Ivano,Castel Ivano
Castel Ivano – MappaPosizione del comune di Castel Ivano nella provincia autonoma di Trento,Castel Ivano – MappaPosizione del comune di Castel Ivano nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
