Caldonazzo comune,Caldonazzo comune.1
,
Caldonazzo – VedutaVeduta di Caldonazzo da Monte Cimone,Caldonazzo – VedutaVeduta di Caldonazzo da Monte Cimone
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Stefano Riccamboni (lista civica Vivere Caldonazzo) dal 24-11-2024
Data di istituzione,16-10-1920
Territorio,Territorio
Coordinate,46°00′N 11°16′E
Altitudine,480 m s.l.m.
Superficie,"21,41 km²"
Abitanti,4 006[1] (30-11-2025)
Densità,"187,11 ab./km²"
Frazioni,"Brenta, Lochere"
Comuni confinanti,"Altopiano della Vigolana, Calceranica al Lago, Folgaria, Lavarone, Levico Terme, Luserna, Pergine Valsugana, Tenna"
Altre informazioni,Altre informazioni
Lingue,italiano
Cod. postale,38052
Prefisso,0461
Fuso orario,UTC+1
Codice ISTAT,022034
Cod. catastale,B404
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 089 GG[3]"
Nome abitanti,"caldonazzesi o panizzari (in dialetto locale, anche i caldonàzi)"
Patrono,san Sisto II
Giorno festivo,6 agosto
Cartografia,Cartografia
Caldonazzo,Caldonazzo
Caldonazzo – MappaPosizione del comune di Caldonazzo nella provincia autonoma di Trento,Caldonazzo – MappaPosizione del comune di Caldonazzo nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
