Baselga di Piné comune,Baselga di Piné comune.1
,
Baselga di Piné – Veduta,Baselga di Piné – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Alessandro Santuari (Lega-lista civica Piné Futura-Autonomisti Popolari) dal 22-9-2020
Data di istituzione,8-4-1874
Territorio,Territorio
Coordinate,46°07′47.15″N 11°14′40.68″E
Altitudine,964 m s.l.m.
Superficie,"41,07 km²"
Abitanti,5 308[1] (30-11-2025)
Densità,"129,24 ab./km²"
Frazioni,"Faida (la Fàida), Miola (Miòla, “Miöla”), Montagnaga (Montagnàga), Ricaldo (Ricàlt), Rizzolaga-Campolongo (Ciorlàga-Campjònch), San Mauro, Sternigo (Starnìch), Tressilla, Vigo-Ferrari (Vich-Ferari)[2]"
Comuni confinanti,"Bedollo, Fornace, Lona-Lases, Palù del Fersina, Pergine Valsugana, Sant'Orsola Terme, Segonzano, Telve, Valfloriana"
Altre informazioni,Altre informazioni
Cod. postale,38042
Prefisso,0461
Fuso orario,UTC+1
Codice ISTAT,022009
Cod. catastale,A694
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 790 GG[4]"
Nome abitanti,pinetani o pinaitri
Patrono,Madonna di Caravaggio
Giorno festivo,26 maggio
Cartografia,Cartografia
Baselga di Piné,Baselga di Piné
Baselga di Piné – MappaPosizione del comune di Baselga di Piné nella provincia autonoma di Trento,Baselga di Piné – MappaPosizione del comune di Baselga di Piné nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
