Spiazzo comune,Spiazzo comune.1
,
Spiazzo – Veduta,Spiazzo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Sergio Lorenzi (lista civica) dal 4-5-2025
Territorio,Territorio
Coordinate,46°06′12.96″N 10°44′21.73″E
Altitudine,649 m s.l.m.
Superficie,"71,07 km²"
Abitanti,1 281[1] (30-11-2025)
Densità,"18,02 ab./km²"
Frazioni,"Borzago, Ches, Fisto, Mortaso"
Comuni confinanti,"Bocenago, Caderzone Terme, Giustino, Massimeno, Pelugo, Ponte di Legno (BS), Saviore dell'Adamello (BS), Strembo, Tre Ville, Valdaone, Vermiglio"
Altre informazioni,Altre informazioni
Cod. postale,38088
Prefisso,0465
Fuso orario,UTC+1
Codice ISTAT,022179
Cod. catastale,I899
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 405 GG[3]"
Nome abitanti,spiazzesi (spiazaröi)
Patrono,san Vigilio
Giorno festivo,prima domenica di luglio
Cartografia,Cartografia
Spiazzo,Spiazzo
Spiazzo – MappaPosizione del comune di Spiazzo nella provincia autonoma di Trento,Spiazzo – MappaPosizione del comune di Spiazzo nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
