Luserna comune,Luserna comune.1
Lusérn,Lusérn
,
Luserna – VedutaLuserna vista da Forte Belvedere Gschwent,Luserna – VedutaLuserna vista da Forte Belvedere Gschwent
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Nerio Giovanazzi (commissario straordinario) dal 3-4-2024
Data di istituzione,4-8-1780
Territorio,Territorio
Coordinate,45°55′21″N 11°19′25″E
Altitudine,1 333 m s.l.m.
Superficie,"8,2 km²"
Abitanti,264[1] (30-11-2025)
Densità,"32,2 ab./km²"
Frazioni,Tezze (Tetsch)
Comuni confinanti,"Caldonazzo, Lavarone, Levico Terme, Pedemonte (VI), Rotzo (VI), Valdastico (VI)"
Altre informazioni,Altre informazioni
Lingue,"cimbro, italiano, tedesco"
Cod. postale,38040
Prefisso,0464
Fuso orario,UTC+1
Codice ISTAT,022109
Cod. catastale,E757
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 4 470 GG[3]"
Nome abitanti,"lusernesi, luserni o lusernati (IT); lusérnar [4]"
Patrono,"Sant'Antonio da Padova, Santa Giustina, San Rocco"
Cartografia,Cartografia
Luserna,Luserna
Luserna – MappaPosizione del comune di Luserna  nella provincia autonoma di Trento,Luserna – MappaPosizione del comune di Luserna  nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
