Soraga di Fassa comune,Soraga di Fassa comune.1
(IT) Soraga di Fassa (LLD) Soraga,(IT) Soraga di Fassa (LLD) Soraga
,
Soraga di Fassa – Veduta,Soraga di Fassa – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Valerio Pederiva (lista civica) dal 21-9-2020
Lingue ufficiali,"Ladino, Italiano"
Territorio,Territorio
Coordinate,46°23′45.35″N 11°40′05.59″E
Altitudine,1 220 m s.l.m.
Superficie,"19,75 km²"
Abitanti,714[1] (30-11-2025)
Densità,"36,15 ab./km²"
Frazioni,Fuchiade
Comuni confinanti,"Falcade (BL), Moena, Rocca Pietore (BL), San Giovanni di Fassa"
Altre informazioni,Altre informazioni
Cod. postale,38030
Prefisso,0462
Fuso orario,UTC+1
Codice ISTAT,022176
Cod. catastale,I839
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 4 294 GG[3]"
Nome abitanti,soragani o soraghesi
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Soraga di Fassa,Soraga di Fassa
Soraga di Fassa – MappaPosizione del comune di Soraga di Fassa nella provincia autonoma di Trento,Soraga di Fassa – MappaPosizione del comune di Soraga di Fassa nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
