Pieve di Bono-Prezzo comune,Pieve di Bono-Prezzo comune.1
,
Pieve di Bono-Prezzo – VedutaCastel Romano a Pieve di Bono,Pieve di Bono-Prezzo – VedutaCastel Romano a Pieve di Bono
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Sergio Rota (lista civica) dal 05-05-2025
Data di istituzione,1 gennaio 2016
Territorio,Territorio
Coordinate,45°56′35″N 10°38′29″E
Altitudine,514 m s.l.m.
Superficie,"24,68 km²"
Abitanti,1 461[1] (30-11-2025)
Densità,"59,2 ab./km²"
Frazioni,"Agrone, Cologna, Creto (sede comunale), Por, Prezzo, Strada"
Comuni confinanti,"Borgo Chiese, Castel Condino, Ledro, Sella Giudicarie, Valdaone"
Altre informazioni,Altre informazioni
Cod. postale,38085
Prefisso,0465
Fuso orario,UTC+1
Codice ISTAT,022234
Cod. catastale,M365
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Nome abitanti,pievani-batoi (o plevensi-batoi)
Cartografia,Cartografia
Pieve di Bono-Prezzo,Pieve di Bono-Prezzo
Pieve di Bono-Prezzo – MappaPosizione del comune di Pieve di Bono-Prezzo nella provincia autonoma di Trento,Pieve di Bono-Prezzo – MappaPosizione del comune di Pieve di Bono-Prezzo nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
