Fai della Paganella comune,Fai della Paganella comune.1
,
Fai della Paganella – VedutaFai della Paganella visto dalla stazione superiore della funivia di Mezzocorona,Fai della Paganella – VedutaFai della Paganella visto dalla stazione superiore della funivia di Mezzocorona
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Mariavittoria Mottes (lista civica) dal 22-9-2020
Territorio,Territorio
Coordinate,46°11′N 11°04′E
Altitudine,958 m s.l.m.
Superficie,"12,13 km²"
Abitanti,941[1] (30-11-2025)
Densità,"77,58 ab./km²"
Frazioni,"Cortalta (Cortàota), Villa (Vìla)"
Comuni confinanti,"Andalo, Cavedago, Mezzolombardo, Spormaggiore, Terre d'Adige, Vallelaghi"
Altre informazioni,Altre informazioni
Cod. postale,38010
Prefisso,0461
Fuso orario,UTC+1
Codice ISTAT,022081
Cod. catastale,D468
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 884 GG[3]"
Nome abitanti,faiotti o faietani (i faiòti)
Patrono,san Nicolò
Cartografia,Cartografia
Fai della Paganella,Fai della Paganella
Fai della Paganella – MappaPosizione del comune di Fai della Paganella  nella provincia autonoma di Trento,Fai della Paganella – MappaPosizione del comune di Fai della Paganella  nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
