Cavedago comune,Cavedago comune.1
,
Cavedago – Veduta,Cavedago – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Corrado Viola (lista civica Uniamo Cavedago) dal 21-9-2020
Territorio,Territorio
Coordinate,46°11′N 11°02′E
Altitudine,864 m s.l.m.
Superficie,"10,03 km²"
Abitanti,611[1] (30-11-2025)
Densità,"60,92 ab./km²"
Frazioni,"Canton, Croce, Daldòss, Dalsàss, Dorek, Lent, Masét, Mattè, Piazza San Lorenzo, Pozza, Pozzata, Priori, Soda, Tomàs, Viola, Zeni"
Comuni confinanti,"Andalo, Fai della Paganella, Molveno, Spormaggiore"
Altre informazioni,Altre informazioni
Cod. postale,38010
Prefisso,0461
Fuso orario,UTC+1
Codice ISTAT,022052
Cod. catastale,C392
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 739 GG[3]"
Nome abitanti,"cavedaghesi, ciavedàieri (in noneso)"
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Cavedago,Cavedago
Cavedago – MappaPosizione del comune di Cavedago nella provincia autonoma di Trento,Cavedago – MappaPosizione del comune di Cavedago nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
