Campodenno comune,Campodenno comune.1
,
Campodenno – Veduta,Campodenno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Igor Portolan (lista civica) dal 26-5-2024
Data di istituzione,Agosto 1952
Territorio,Territorio
Coordinate,46°15′N 11°02′E
Altitudine,534 m s.l.m.
Superficie,"25,02 km²"
Abitanti,1 528[1] (30-11-2025)
Densità,"61,07 ab./km²"
Frazioni,"Dercolo (Dércol[2]), Lover (Lóer[2]), Quetta (Chèta[2]), Termon (Termón[2]) Località: Cressino (Cressìn[2]), Ischia, Maso Bolner, Maso Sant'Angelo, Segonzone (Segonzón o Sgonzón)"
Comuni confinanti,"Denno, Spormaggiore, Sporminore, Ton, Ville d'Anaunia, Contà"
Altre informazioni,Altre informazioni
Cod. postale,38010
Prefisso,0461
Fuso orario,UTC+1
Codice ISTAT,022037
Cod. catastale,B525
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 224 GG[4]"
Nome abitanti,campodennesi
Patrono,san Maurizio
Giorno festivo,22 settembre
Cartografia,Cartografia
Campodenno,Campodenno
Campodenno – MappaPosizione del comune di Campodenno all'interno della provincia di Trento,Campodenno – MappaPosizione del comune di Campodenno all'interno della provincia di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
