Lona-Lases comune,Lona-Lases comune.1
,
Lona-Lases – VedutaVista invernale della frazione di Lases,Lona-Lases – VedutaVista invernale della frazione di Lases
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Antonio Giacomelli[1] (Lona Lases Bene Comune) dal 26-2-2024
Data di istituzione,08-04-1874
Territorio,Territorio
Coordinate,46°09′N 11°13′E
Altitudine,639 m s.l.m.
Superficie,"11,37 km²"
Abitanti,887[2] (30-11-2025)
Densità,"78,01 ab./km²"
Frazioni,"Lases (sede comunale), Lona; Località: Piazzole, Casara, Sottolona"
Comuni confinanti,"Albiano, Baselga di Piné, Bedollo, Cembra Lisignago, Fornace, Segonzano, Sover, Valfloriana"
Altre informazioni,Altre informazioni
Cod. postale,38040
Prefisso,0461
Fuso orario,UTC+1
Codice ISTAT,022108
Cod. catastale,E664
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 388 GG[4]"
Nome abitanti,loni e lasesi
Patrono,Visitazione della Beata Vergine Maria
Giorno festivo,31 maggio
Cartografia,Cartografia
Lona-Lases,Lona-Lases
Lona-Lases – MappaPosizione del comune di Lona-Lases  nella provincia autonoma di Trento,Lona-Lases – MappaPosizione del comune di Lona-Lases  nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
