Dimaro Folgarida comune,Dimaro Folgarida comune.1
,
Dimaro Folgarida – Veduta,Dimaro Folgarida – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Marco Panciera (lista civica) dal 5-5-2025
Data di istituzione,1º gennaio 2016
Territorio,Territorio
Coordinate,46°19′33.38″N 10°52′27.76″E
Altitudine,766 m s.l.m.
Superficie,"36,53[1] km²"
Abitanti,2 134[2] (30-11-2025)
Densità,"58,42 ab./km²"
Frazioni,"Carciato, Dimaro (sede comunale), Folgarida, Monclassico, Presson"
Comuni confinanti,"Cles, Commezzadura, Croviana, Malé, Pinzolo, Ville d'Anaunia[3][4]"
Altre informazioni,Altre informazioni
Cod. postale,38025
Prefisso,0463
Fuso orario,UTC+1
Codice ISTAT,022233
Cod. catastale,M366
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[5]
Cl. climatica,"zona F, 3 586 GG[6]"
Patrono,san Lorenzo[7]
Giorno festivo,10 agosto[7]
Cartografia,Cartografia
Dimaro Folgarida,Dimaro Folgarida
Dimaro Folgarida – MappaPosizione del comune di Dimaro Folgarida nella provincia autonoma di Trento,Dimaro Folgarida – MappaPosizione del comune di Dimaro Folgarida nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
