Fiavé comune,Fiavé comune.1
,
Fiavé – Veduta,Fiavé – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Nicoletta Aloisi (lista civica) dal 22-9-2020
Territorio,Territorio
Coordinate,46°00′16″N 10°50′32″E
Altitudine,660 m s.l.m.
Superficie,"24,28[1] km²"
Abitanti,1 102[2] (30-11-2025)
Densità,"45,39 ab./km²"
Frazioni,"Ballino, Favrio (Favri), Stumiaga[3]"
Comuni confinanti,"Comano Terme, Bleggio Superiore, Ledro, Tenno"
Altre informazioni,Altre informazioni
Cod. postale,38075
Prefisso,0465
Fuso orario,UTC+1
Codice ISTAT,022083
Cod. catastale,D565
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona F, 3 434 GG[5]"
Nome abitanti,fiavetani (i fiavégi)
Patrono,santi Fabiano e Sebastiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
Fiavé,Fiavé
Fiavé – MappaPosizione del comune di Fiavé nella provincia autonoma di Trento,Fiavé – MappaPosizione del comune di Fiavé nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
