Mori comune,Mori comune.1
,
Mori – VedutaLa cittadina vista da nord,Mori – VedutaLa cittadina vista da nord
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Nicola Mazzucchi (liste civiche - Lega - PATT) dal 18-5-2025
Data di istituzione,16-10-1920
Territorio,Territorio
Coordinate,45°51′04.68″N 10°58′54.12″E
Altitudine,204 m s.l.m.
Superficie,"40,08 km²"
Abitanti,10 311[1] (30-11-2025)
Densità,"257,26 ab./km²"
Frazioni,"Besagno, Loppio, Manzano, Molina, Mori Vecchio, Nomesino, Pannone (Panóm), Ravazzone, San Marco, Sano, Seghe I, Seghe II, Tierno, Valle San Felice, Varano, Villanuova"
Comuni confinanti,"Ala, Arco, Brentonico, Isera, Nago-Torbole, Ronzo-Chienis, Rovereto"
Altre informazioni,Altre informazioni
Lingue,Italiano
Cod. postale,38065
Prefisso,0464
Fuso orario,UTC+1
Codice ISTAT,022123
Cod. catastale,F728
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 713 GG[3]"
Nome abitanti,moriani
Patrono,Santo Stefano
Giorno festivo,26 dicembre
Cartografia,Cartografia
Mori,Mori
Mori – MappaPosizione del comune di Mori nella provincia autonoma di Trento,Mori – MappaPosizione del comune di Mori nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
